Nombre,Categoría principal,Descripción,Dirección,Sitio Web,URL Logo,Email
Anicura Vet's Avinguda Hospital Veterinario,Clínicas veterinarias,"Parte del grupo Anicura, este hospital ofrece urgencias 24h, especialidades (cardiología, neurología, oncología, etc.), UCI, diagnóstico avanzado y cirugía compleja. Referente en la zona.","Avda. Barberà 114, 08203 Sabadell",anicura.es/vets-avinguda,https://www.anicura.es/cdn-cgi/image/f=auto/AdaptiveImages/powerinit/13978/Logo%20Vets%20Avinguda.jpg?stamp=625abfd3107ee0fb7736f0050e32c9b8159d6be3,info.vets@anicura.es
Clínica Veterinaria Sant Gervasi,Clínicas veterinarias,"Servicios completos de veterinaria general: consultas, vacunas, cirugía, laboratorio, RX digital, ecografía. Disponen de servicio de peluquería y tienda.","Passeig Sant Gervasi, 73 - 08022 Barcelona",cvetsantgervasi.com,https://www.cvetsantgervasi.com/web/image/website/1/logo/Cl%C3%ADnica%20Veterinaria%20Sant%20Gervasi?unique=a9f2a6d,info@cvetsantgervasi.com
Veterinaria Fort Pius,Clínicas veterinarias,"Clínica de barrio con servicios de medicina general, cirugía, vacunación, análisis clínicos y radiología. Ofrecen trato cercano y asesoramiento personalizado.","C/ de Sicília, 182, Eixample, 08013 Barcelona",veterinarioeixample.es,https://le-de.cdn-website.com/03bbbed93e954daf867c3f2fb358843e/dms3rep/multi/opt/11a9ee4f-78e6-4d5f-9448-5039a28dabba-169w.png,
Gràcia Veterinaris,Clínicas veterinarias,"Servicios de medicina general, cirugía, vacunación, microchip, análisis clínicos y radiología. Cuentan con tienda y peluquería.","C/ Pere Serafí, 24. 08012 Barcelona",graciaveterinaris.com ,https://graciaveterinaris.com/wp-content/uploads/2018/03/graciaveterinaris-logo-1.png,info@graciaveterinaris.com
Clínica Veterinària Horta,Clínicas veterinarias,"Servicios de medicina general, preventiva, cirugía, análisis, radiología y ecografía. Cuentan con peluquería y tienda especializada en el barrio de Horta.","Plaça de Castelao 2
Barri d'Horta
08031 Barcelona",hortavet.com,https://www.hortavet.com/wp-content/uploads/2019/11/hortavet-logo-3.png,info@hortavet.com
Hospital Veterinari Montjuïc,Clínicas veterinarias,"Hospital de referencia con urgencias 24h, UCI, especialistas, diagnóstico avanzado (TAC, RM), cirugía compleja. Cubren todas las áreas médicas y quirúrgicas.","Carrer de Mèxic, 30, Sants-Montjuïc, 08004 Barcelona",hvmontjuic.com,"https://static.wixstatic.com/media/557b5e_fb68edb0cfad451793aefc642b3cc232~mv2.png/v1/fill/w_287,h_79,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/logo%20big_tif.png",info@hvmontjuic.com
La Veterinaria de Nou Barris,Clínicas veterinarias,"Clínica con servicios de medicina general, vacunaciones, cirugía, análisis, radiología y ecografía. Tienen tienda de alimentación y accesorios y servicio de peluquería.","Carrer d'En Tissó, 29 bis
08016 Barcelona",https://www.laveterinariadenoubarris.com/es/,https://www.laveterinariadenoubarris.com/media/images/logo.webp,"
laveterinaria.noubarris@hotmail.com"
Centre Veterinario Navas,Clínicas veterinarias,"Ofrece medicina general, preventiva, cirugía, laboratorio, radiología y ecografía. Cuentan con servicio de peluquería canina y felina y tienda.","Calle Juan de Garay, 46
Barelona",https://centreveterinarinavas.com/,https://centreveterinarinavas.com/wp-content/uploads/2020/05/navas.jpg.webp,veterinarinavas@gmail.com
VETCLÍNIC 1 LES TORRES,Clínicas veterinarias,"En VetClínic velamos por la salud de las mascotas y tenemos la voluntad de ofrecer el mejor servicio a nuestros clientes y mascotas, con especial énfasis en garantizar una buena comunicación. Llámanos o acude a la clínica veterinaria de Rubí de VetClínic más cercana, estaremos encantados de atenderte. PORQUE SU BIENESTAR ES NUESTRO COMPROMISO.","Passeig de Les Torres 6
08191 Rubí, Barcelona",https://www.vetclinic.es/,https://4c97278c9a.clvaw-cdnwnd.com/4d50ace040ed0ed0e68253fdbb8afbf8/200000700-b862fb8631/450/VetClinicLogo.webp?ph=4c97278c9a,info@vetclinic.es
VETCLÍNIC 2 CAN FATJÓ,Clínicas veterinarias,"En VetClínic velamos por la salud de las mascotas y tenemos la voluntad de ofrecer el mejor servicio a nuestros clientes y mascotas, con especial énfasis en garantizar una buena comunicación. Llámanos o acude a la clínica veterinaria de Rubí de VetClínic más cercana, estaremos encantados de atenderte. PORQUE SU BIENESTAR ES NUESTRO COMPROMISO.","Calle del Safir 18, 08191 Rubí, Barcelona",https://www.vetclinic.es/,https://4c97278c9a.clvaw-cdnwnd.com/4d50ace040ed0ed0e68253fdbb8afbf8/200000700-b862fb8631/450/VetClinicLogo.webp?ph=4c97278c9a,info@vetclinic.es
VETCLÍNIC 3 CALDERÓN,Clínicas veterinarias,"En VetClínic velamos por la salud de las mascotas y tenemos la voluntad de ofrecer el mejor servicio a nuestros clientes y mascotas, con especial énfasis en garantizar una buena comunicación. Llámanos o acude a la clínica veterinaria de Rubí de VetClínic más cercana, estaremos encantados de atenderte. PORQUE SU BIENESTAR ES NUESTRO COMPROMISO.","Calle de Calderón de la barca 5, 08191 Rubí, Barcelona",https://www.vetclinic.es/,https://4c97278c9a.clvaw-cdnwnd.com/4d50ace040ed0ed0e68253fdbb8afbf8/200000700-b862fb8631/450/VetClinicLogo.webp?ph=4c97278c9a,info@vetclinic.es
Clínica Veterinaria Betulia,Clínicas veterinarias,"Ofrecen medicina general, cirugía, diagnóstico por imagen, análisis, vacunaciones. Servicio de peluquería canina y felina.","Carrer d'Alfons XII 344 esquina, Carrer de Cervantes, 161, baixos, 08912 Badalona, Barcelona",clinicabetulia.com,https://www.clinicabetulia.com/wp-content/uploads/2024/05/2-2.png,info@clinicabetulia.com
SURvet Diagonal,Clínicas veterinarias,"Quiénes somos?

Somos un Hospital Veterinario especializado en Emergencias, Cuidados Intensivos y Referencias veterinarias. En la Avenida Diagonal de Barcelona y fundado en 1995, SURvet somos un centro de servicios de Referencia veterinaria 24 horas: atendemos los casos que nos dirigen desde otros centros veterinarios. El centro también está abierto al público en general -para atender urgencias- cuando el veterinario habitual del cliente se encuentra cerrado y en horario nocturno y festivo.","Diagonal, 317 · 08009 Barcelona",https://urgenciesveterinaries.com/,https://urgenciesveterinaries.com/wp-content/uploads/2019/04/logo-survet.png,survet@urgenciesveterinaries.com
